ApplicationID,DeptName,Program,Year,ProductName,Glyphosate,ProductType,ProductTier,State,Gallons,Location,Address,Latitude,Longitude,Missing_LL
13791,Parks and Recreation,Unspecified,2007,Summit Bti Briquets,N,insecticide,Tier 4,S,0.05390625,Jefferson Golf,4101 Beacon Ave S,47.568067,-122.311441,
13788,Parks and Recreation,Unspecified,2007,Casoron 4G,N,Herbicide,Tier 1,S,0.15625,Jefferson Golf,4101 Beacon Ave S,47.568067,-122.311441,
13496,Parks and Recreation,Unspecified,2007,Roundup DryPac,Y,Herbicide,No Tier,S,0.0703125,Hutchinson PG,5801 S Pilgrim St,47.51431208,-122.2600621,
13495,Parks and Recreation,Unspecified,2007,Roundup DryPac,Y,Herbicide,No Tier,S,0.0703125,Brighton PF,5948 39th Ave South,47.54838735,-122.2820996,
13750,Parks and Recreation,Unspecified,2007,Marathon 1%G,N,Insecticides,Tier 1,S,0.07109375,Greenhouse Jefferson,1600 S Dakota S,47.567097,-122.312213,
13752,Parks and Recreation,Unspecified,2007,Marathon 1%G,N,Insecticides,Tier 1,S,0.07109375,Greenhouse Jefferson,1600 S Dakota S,47.567097,-122.312213,
13753,Parks and Recreation,Unspecified,2007,Marathon 1%G,N,Insecticides,Tier 1,S,0.07109375,Greenhouse Jefferson,1600 S Dakota S,47.567097,-122.312213,
14776,Parks and Recreation,Unspecified,2009,Surflan AS,N,Herbicide,Tier 2,L,1.5,10th Ave E / E Roanoke Pk,10th Ave E / E Roanoke,47.643723,-122.320185,x
14776,Parks and Recreation,Unspecified,2009,Roundup Pro,Y,Herbicide,Tier 2,L,1.5,10th Ave E / E Roanoke Pk,10th Ave E / E Roanoke,47.643723,-122.320185,x
14497,Parks and Recreation,Unspecified,2008,Roundup Pro,Y,Herbicide,Tier 2,L,2,12th Ave South Viewpoint,12th Ave S / S Forest St.,47.5781,-122.3178,x
14497,Parks and Recreation,Unspecified,2008,Surflan AS,N,Herbicide,Tier 2,L,2,12th Ave South Viewpoint,12th Ave S / S Forest St.,47.5781,-122.3178,x
13397,Parks and Recreation,Unspecified,2007,Garlon 4,N,Herbicide,Tier 2,L,0.005859375,Washington Park,1075 Lake Washington Blvd. E,47.637765,-122.29537,
13400,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,0.0078125,Washington Park,1075 Lake Washington Blvd. E,47.637765,-122.29537,
13801,Parks and Recreation,Unspecified,2007,Primo,N,Plant Growth Regulator,No Tier,L,0.125,West Seattle Golf,4470 35th Ave SW,47.563271,-122.356966,
13794,Parks and Recreation,Unspecified,2007,Primo,N,Plant Growth Regulator,No Tier,L,0.25,West Seattle Golf,4470 35th Ave SW,47.563271,-122.356966,
13407,Parks and Recreation,Unspecified,2007,Rodeo Emerged Aquatic,Y,Herbicide,Tier 2,L,0.0625,Lake Washington Blvd (South),4900 block Lake Wash Blvd S,47.718819,-122.295266,
13797,Parks and Recreation,Unspecified,2007,Primo,N,Plant Growth Regulator,No Tier,L,0.25,West Seattle Golf,4470 35th Ave SW,47.563271,-122.356966,
13798,Parks and Recreation,Unspecified,2007,Primo,N,Plant Growth Regulator,No Tier,L,0.125,West Seattle Golf,4470 35th Ave SW,47.563271,-122.356966,
13802,Parks and Recreation,Unspecified,2007,Roundup,Y,Herbicide,Tier 2,L,0.046875,West Seattle Golf,4470 35th Ave SW,47.563271,-122.356966,
13800,Parks and Recreation,Unspecified,2007,Primo,N,Plant Growth Regulator,No Tier,L,0.25,West Seattle Golf,4470 35th Ave SW,47.563271,-122.356966,
13486,Parks and Recreation,Unspecified,2007,Rodeo Emerged Aquatic,Y,Herbicide,Tier 2,L,0.09375,W Duwamish GB: Othello St,W Marginal Wy SW,47.563271,-122.356966,
13803,Parks and Recreation,Unspecified,2007,Primo,N,Plant Growth Regulator,No Tier,L,0.125,West Seattle Golf,4470 35th Ave SW,47.563271,-122.356966,
13804,Parks and Recreation,Unspecified,2007,Primo,N,Plant Growth Regulator,No Tier,L,0.15625,West Seattle Golf,4470 35th Ave SW,47.563271,-122.356966,
13805,Parks and Recreation,Unspecified,2007,Daconil Weather Stik,N,Fungicide,Tier 1,L,1,West Seattle Golf,4470 35th Ave SW,47.563271,-122.356966,
13808,Parks and Recreation,Unspecified,2007,Primo,N,Plant Growth Regulator,No Tier,L,0.125,West Seattle Golf,4470 35th Ave SW,47.563271,-122.356966,
13809,Parks and Recreation,Unspecified,2007,Banner MAXX,N,Fungicide,Tier 1,L,1,West Seattle Golf,4470 35th Ave SW,47.563271,-122.356966,
13574,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,0.0234375,Me-Kwa-Mooks Pk,4503 Beach Dr SW,47.563166,-122.404005,
13575,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,0.0625,Schmitz Memorial Pk,4503 Beach Dr SW,47.574375,-122.400425,
13810,Parks and Recreation,Unspecified,2007,Crossbow,N,Herbicide,Tier 1,L,0.9375,West Seattle Golf,4470 35th Ave SW,47.563271,-122.356966,
13811,Parks and Recreation,Unspecified,2007,Primo,N,Plant Growth Regulator,No Tier,L,0.125,West Seattle Golf,4470 35th Ave SW,47.563271,-122.356966,
13812,Parks and Recreation,Unspecified,2007,Primo,N,Plant Growth Regulator,No Tier,L,0.125,West Seattle Golf,4470 35th Ave SW,47.563271,-122.356966,
13813,Parks and Recreation,Unspecified,2007,Banner MAXX,N,Fungicide,Tier 1,L,0.140625,West Seattle Golf,4470 35th Ave SW,47.563271,-122.356966,
13814,Parks and Recreation,Unspecified,2007,Daconil Weather Stik,N,Fungicide,Tier 1,L,3.28125,West Seattle Golf,4470 35th Ave SW,47.563271,-122.356966,
13763,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,0.25,Emma Schmidtz Memorial Overlook,4503 Beach Drive SW,47.56289757,-122.4071204,
13270,Parks and Recreation,Unspecified,2007,Talstar GC flowable,N,Insecticides,Tier 1,L,4,Greenhouse Jefferson,,47.567097,-122.312213,
14971,Parks and Recreation,Unspecified,2009,Roundup Pro,Y,Herbicide,Tier 2,L,1.5,12th Ave South Viewpoint,12th Ave S / S Forest St.,47.5781,-122.3178,x
13718,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,2,Denny Park,100 Dexter Ave N,47.61833,-122.284838,
13718,Parks and Recreation,Unspecified,2007,Surflan AS,N,Herbicide,Tier 2,L,2,Denny Park,100 Dexter Ave N,47.61833,-122.284838,
14616,Parks and Recreation,Unspecified,2009,Roundup Pro,Y,Herbicide,Tier 2,L,4,Alvin Larkins Pk,E Pike St / 34th Ave E,47.6143,-122.2887,x
13273,Parks and Recreation,Unspecified,2007,Talstar GC flowable,N,Insecticides,Tier 1,L,2,Greenhouse Jefferson,,47.567097,-122.312213,
13301,Parks and Recreation,Unspecified,2007,Daconil Weather Stik,N,Fungicide,Tier 1,L,100,West Seattle Golf,,47.563271,-122.356966,
13302,Parks and Recreation,Unspecified,2007,Daconil Weather Stik,N,Fungicide,Tier 1,L,100,West Seattle Golf,,47.563271,-122.356966,
13300,Parks and Recreation,Unspecified,2007,Banner MAXX,N,Fungicide,Tier 1,L,100,West Seattle Golf,,47.563271,-122.356966,
13218,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,2,Alki Beach Pk,2701 Alki Ave SW,47.58671,-122.400127,
13219,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,4,Armeni Boat Ramp,1222 Harbor Ave SW,47.592128,-122.381907,
13220,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,2.5,Hamilton Viewpoint,1531 California Ave SW,47.59074752,-122.3890697,
13221,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,3,Belvedere Viewpoint,3600 Admiral Way SW,47.580672,-122.376895,
13264,Parks and Recreation,Unspecified,2007,26GT,N,Fungicide,Tier 1,L,375,Jefferson Golf,,47.568067,-122.311441,
13264,Parks and Recreation,Unspecified,2007,Banner MAXX,N,Fungicide,Tier 1,L,375,Jefferson Golf,,47.568067,-122.311441,
13264,Parks and Recreation,Unspecified,2007,Daconil Weather Stik,N,Fungicide,Tier 1,L,375,Jefferson Golf,,47.568067,-122.311441,
13274,Parks and Recreation,Unspecified,2007,Talstar GC flowable,N,Insecticides,Tier 1,L,3,Greenhouse Jefferson,,47.567097,-122.312213,
13223,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,20,Riverview PF,7226 12th Ave SW,47.539329,-122.348855,
13222,Parks and Recreation,Unspecified,2007,Surflan AS,N,Herbicide,Tier 2,L,15,Riverview PF,7226 12th Ave SW,47.539329,-122.348855,
13223,Parks and Recreation,Unspecified,2007,Surflan AS,N,Herbicide,Tier 2,L,20,Riverview PF,7226 12th Ave SW,47.539329,-122.348855,
13222,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,15,Riverview PF,7226 12th Ave SW,47.539329,-122.348855,
13226,Parks and Recreation,Unspecified,2007,Surflan AS,N,Herbicide,Tier 2,L,4,Duwamish Waterway Pk,7900 10th Ave South,47.583406,-122.395546,
13224,Parks and Recreation,Unspecified,2007,Roundup Pro,Y,Herbicide,Tier 2,L,20,Riverview PF,7226 12th Ave SW,47.539329,-122.348855,
