ApplicationID,DeptName,Program,DateOfApplication,Year,Glyphosate,Tier1,QtyAppliedUOM,QtyApplied,Gallons,Location,Address,Latitude,Longitude,NoSprayings,PF
12796,Parks and Recreation,Unspecified,04/03/2007,2007,Y,N,Gal(s),3,3,Northacres Park,12718 1st Ave NE,47.721559,-122.326993,0,0
13218,Parks and Recreation,Unspecified,01/24/2007,2007,Y,N,Gal(s),2,2,Alki Beach Park,2701 Alki Ave SW,47.588867,-122.39486,0,0
13219,Parks and Recreation,Unspecified,01/24/2007,2007,Y,N,Gal(s),4,4,Armeni Boat Ramp,1222 Harbor Ave SW,47.592128,-122.381907,0,0
13220,Parks and Recreation,Unspecified,01/24/2007,2007,Y,N,Gal(s),2.5,2.5,Hamilton Viewpoint,1531 California Ave SW,47.59074752,-122.3890697,0,0
13221,Parks and Recreation,Unspecified,01/24/2007,2007,Y,N,Gal(s),3,3,Belvedere Viewpoint,3600 Admiral Way SW,47.580672,-122.376895,0,0
13222,Parks and Recreation,Unspecified,01/29/2007,2007,Y,N,Gal(s),15,15,Riverview Playfield,7226 12th Ave SW,47.539329,-122.348855,0,0
13223,Parks and Recreation,Unspecified,01/29/2007,2007,Y,N,Gal(s),20,20,Riverview Playfield,7226 12th Ave SW,47.539329,-122.348855,0,0
13224,Parks and Recreation,Unspecified,01/31/2007,2007,Y,N,Gal(s),20,20,Riverview Playfield,7226 12th Ave SW,47.539329,-122.348855,0,0
13225,Parks and Recreation,Unspecified,01/31/2007,2007,Y,N,Gal(s),12,12,South Park Playground,738 S Sullivan St,47.520795,-122.323649,0,0
13226,Parks and Recreation,Unspecified,01/31/2007,2007,Y,N,Gal(s),4,4,Duwamish Waterway Park,7900 10th Ave South,47.531536,-122.32015,0,0
13228,Parks and Recreation,Unspecified,03/05/2007,2007,N,Y,Gal(s),500,500,Jackson Golf,,47.729889,-122.319111,0,0
13229,Parks and Recreation,Unspecified,02/02/2007,2007,Y,N,Gal(s),6,6,South Park Playground,738 S Sullivan St,47.520795,-122.323649,0,0
13230,Parks and Recreation,Unspecified,02/02/2007,2007,Y,N,Gal(s),6,6,Greg Davis Park,26th Ave SW/ SW Brandon St,47.55376,-122.36562,0,0
13231,Parks and Recreation,Unspecified,02/05/2007,2007,Y,N,Gal(s),3,3,Delridge Playfield,4555 Delridge Way SW,47.562842,-122.364371,0,0
13234,Parks and Recreation,Unspecified,03/16/2007,2007,Y,N,Gal(s),1,1,Gas Works Park,2101 N Northlake Way,47.645638,-122.334908,0,0
13236,Parks and Recreation,Unspecified,03/15/2007,2007,Y,N,Gal(s),5,5,Interbay Athletic Complex,3027 17th Ave W,47.64733,-122.378522,0,0
13237,Parks and Recreation,Unspecified,03/16/2007,2007,Y,N,Gal(s),15,15,Interbay Athletic Complex,3027 17th Ave W,47.64733,-122.378522,0,0
13238,Parks and Recreation,Unspecified,03/14/2007,2007,Y,N,Gal(s),4,4,Rainier Beach Playfield,8825 Rainier Ave South,47.595333,-122.31113,0,0
13240,Parks and Recreation,Unspecified,03/15/2007,2007,Y,N,Gal(s),1,1,Beacon Hill Playground,1902 13th Ave South,47.58622631,-122.3153246,0,0
13241,Parks and Recreation,Unspecified,03/19/2007,2007,Y,N,Gal(s),2,2,Rainier Beach Playfield,8825 Rainier Ave South,47.595333,-122.31113,0,0
13242,Parks and Recreation,Unspecified,03/26/2007,2007,Y,N,Gal(s),3,3,Dr. Blanche Lavizzo Park,2100 S Jackson St,47.599274,-122.30415,0,0
